name,speciality,rating,delivery_time,pricing,offer,conditions
The Doner Company,"Fast Food, Salads, Lebanese",4.4,30 MINS,Rs. 350 FOR TWO,10% off on all orders, 
The Irani Cafe,Cafe,4.4,41 MINS,Rs. 250 FOR TWO, , 
Teri Rajput,"Street Food, North Indian, Desserts",4.3,36 MINS,Rs. 150 FOR TWO, , 
CakeZone,"Desserts, Bakery, Beverages, Ice Cream",4.2,36 MINS,Rs. 200 FOR TWO, , 
Burger King,"American, Fast Food",3.8,50 MINS,Rs. 350 FOR TWO, ,Rs. 30 distance fee applicable
Pind Punjab,"North Indian, Chinese",4.2,42 MINS,Rs. 350 FOR TWO,30% off | Use coupon SWIGGYIT,Rs. 10 distance fee applicable
Wadeshwar,"North Indian, South Indian, Fast Food, Street Food",4.2,40 MINS,Rs. 300 FOR TWO, , 
McDonald's,Fast Food,4.2,37 MINS,Rs. 400 FOR TWO, , 
Khichdi Experiment by Ola Foods,"Home Food, Healthy Food, Indian",4.4,46 MINS,Rs. 250 FOR TWO, ,Rs. 10 distance fee applicable
Wadeshwar(FC Road),"Street Food, North Indian, South Indian, Fast Food, Beverages, Healthy Food, Ind...",4.4,56 MINS,Rs. 300 FOR TWO, ,Rs. 30 distance fee applicable
Domino's Pizza,Pizzas,4.2,30 MINS,Rs. 400 FOR TWO, , 
Mad Momos,Chinese,3.9,45 MINS,Rs. 150 FOR TWO,20% off on all orders,Rs. 10 distance fee applicable
Bangalore iyangar's bakery,"Desserts, Bakery",4.4,43 MINS,Rs. 150 FOR TWO, ,Rs. 10 distance fee applicable
Faasos,"Fast Food, North Indian, Biryani, Desserts",4.3,42 MINS,Rs. 200 FOR TWO,Swiggy Value Offer,Rs. 10 distance fee applicable
LunchBox,"North Indian, Chinese, Desserts, Biryani",4.1,43 MINS,Rs. 200 FOR TWO,30% off | Use coupon SWIGGYIT,Rs. 10 distance fee applicable
Wild Sugar,"Desserts, Bakery",4.0,41 MINS,Rs. 400 FOR TWO,30% off | Use coupon SWIGGYIT,Rs. 10 distance fee applicable
Chang's,Chinese,4.3,43 MINS,Rs. 700 FOR TWO, ,Rs. 10 distance fee applicable
Rolls Mania,Fast Food,4.0,38 MINS,Rs. 200 FOR TWO,20% off | Use coupon SWIGGYIT,Rs. 10 distance fee applicable
Subway,"Snacks, Salads, American, Fast Food, Healthy Food, Beverages",4.2,33 MINS,Rs. 300 FOR TWO, , 
Salad Grills,"Healthy Food, Salads, Fast Food, Continental, North Indian, Chinese",4.3,44 MINS,Rs. 300 FOR TWO, , 
